freq,dbm
0.808,29.3248
0.9612,29.7502
1.01,29.5
1.2206,29.1067
1.5597,28.877
1.6252,28.7694
1.7691,29.0989
1.8261,29.6508
1.9283,30.4458
2.1733,31.3342
2.4667,31.6402
2.6772,32.0983
2.9386,32.4464
3.1437,32.998
3.4589,32.6701
3.8055,33.3385
4.227,33.7355
4.5976,34.2425
5.1703,34.0733
5.4755,34.6879
5.9491,34.9515
6.1357,35.3114
6.7187,35.7339
7.2738,35.8688
8.1867,35.9657
8.9618,36.3949
9.4406,36.8245
9.7406,37.2732
10.1887,37.7216
10.673,38.0577
11.1586,38.3703
11.615,38.4188
11.927,38.9165
12.7502,39.2825
13.2775,39.1297
13.7341,38.9186
14.0179,39.6479
14.4727,39.9793
14.9676,40.3879
15.3383,40.8949
15.7375,40.6511
16.1405,40.8563
16.3753,40.8934
16.6434,41.1246
17.061,41.3321
17.3654,41.1913
17.5401,41.5022
17.7174,41.7662
17.8935,41.794
